	ID	SYSTEM	SUBSYSTEM	DESCRIPTION	SHOULD FAIL	IN	IN LB	IN UB	OUT	OUT LB	OUT UB
	1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I)	0	q10[m]	1	1	q10h2[m]	1	1
						nadh[m]	1	1	nad[m]	1	1
						h[m]	5	5	h[i]	4	4
	2	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II)	0	succ[m]	1	1	fum[m]	1	1
						fad[m]	1	1	fadh2[m]	1	1
	3	ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - oxidative decarboxylation of pyruvate	0	pyr[m]	1	1	accoa[m]	1	1
						nad[m]	1	1	nadh[m]	1	1
						coa[m]	1	1	co2[m]	1	1
	4	ENERGY METABOLISM	KREBS CYCLE	Krebs cycle - NADH generation	0	accoa[m]	1	1	coa[m]	1	1
						gdp[m]	1	1	fadh2[m]	1	1
						fad[m]	1	1	gtp[m]	1	1
						nad[m]	3	3	nadh[m]	3	3
						pi[m]			co2[m]	2	2
						h2o[m]	2	2	h[m]	2	3
	5	ENERGY METABOLISM	ATP GENERATION	ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle	0	glc_D[c]	1	1	atp[c]	30	32
						o2[c]	6	6	h2o[c]	36	38
						pi[c]	30	32	co2[c]	6	6
						adp[c]	30	32			
						h[c]	30	32			
	6	ENERGY METABOLISM	ATP GENERATION	ATP generation from glucose (hypoxic conditions) - glycolysis	0	glc_D[c]	1	1	pyr[c]	2	2
						nad[c]	2	2	h[c]	2	2
						adp[c]	2	2	atp[c]	2	2
						pi[c]	2	2	nadh[c]	2	2
									h2o[c]	2	2
	7	ENERGY METABOLISM	ATP GENERATION	ATP generation from ions	1	h2o[c]	1		atp[c]	1	1
						o2[c]	1				
						cl[c]	1				
						nh4[c]	1				
						ca2[c]	1				
						i[c]	1				
						so4[c]	1				
						fe2[c]	1				
						na1[c]	1				
						k[c]	1				
						pi[c]	1				
	8	ENERGY METABOLISM	OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION	Reactive oxygen species detoxification (H2O2 to H2O)	0	h2o2[x]	2	2	h2o[x]	2	2
									o2[x]	1	1
	9	ENERGY METABOLISM	REDOX METABOLISM	Presence of the thioredoxin system through the thioredoxin reductase activity	0	h[c]	1	1	nadp[c]	1	1
						nadph[c]	1	1	trdrd[c]	1	1
						trdox[c]	1	1			
	10	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	Inosine monophosphate synthesis (IMP)	0	glc_D[c]	1	1	imp[c]	1	1
						gln_L[c]	2	2	glu_L[c]	2	2
						asp_L[c]	1	1	thf[c]	2	2
						gly[c]	1	1	fum[c]	1	1
						10fthf[c]	2	2	ppi[c]	1	1
						atp[c]	6	6	adp[c]	5	5
						h2o[c]	2	2	h[c]	11	11
						nadp[c]	2	2	pi[c]	4	4
									nadph[c]	2	2
									amp[c]	1	1
	11	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Cytidine triphosphate synthesis (CTP)	0	gln_L[c]	1	2	glu_L[c]	1	2
						hco3[c]	1	1	ctp[c]	1	1
						asp_L[c]	1	1	q10h2[m]	1	1
						q10[m]	1	1	h[c]	7	7
						glc_D[c]	1	1	pi[c]	3	3
						atp[c]	7	7	adp[c]	6	6
						h2o[c]	1	2	ppi[c]	1	1
						nadp[c]	2	2	co2[c]	2	2
						nh4[c]	0	1	nadph[c]	2	2
									amp[c]	1	1
	12	NUCLEOTIDE METABOLISM	IMP SYNTHESIS / PURINE METABOLISM	Guanosine triphosphate synthesis (GTP)	0	glc_D[c]	1	1	gtp[c]	1	1
						gln_L[c]	3	3	glu_L[c]	3	3
						asp_L[c]	1	1	thf[c]	2	2
						gly[c]	1	1	fum[c]	1	1
						10fthf[c]	2	2	ppi[c]	2	2
						nadp[c]	2	2	adp[c]	7	7
						atp[c]	9	9	h[c]	14	14
						h2o[c]	4	4	pi[c]	4	4
						nad[c]	1	1	nadh[c]	1	1
									nadph[c]	2	2
									amp[c]	2	2
	13	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Uridine triphosphate synthesis (UTP)	0	gln_L[c]	1	1	glu_L[c]	1	1
						hco3[c]	1	1	utp[c]	1	1
						asp_L[c]	1	1	q10h2[m]	1	1
						q10[m]	1	1	h[c]	5	5
						glc_D[c]	1	1	pi[c]	2	2
						h2o[c]	1	1	adp[c]	5	5
						atp[c]	6	6	ppi[c]	1	1
						nadp[c]	2	2	co2[c]	2	2
									nadph[c]	2	2
									amp[c]	1	1
	14	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyadenosine triphosphate synthesis (dATP)	0	glc_D[c]	1	1	datp[c]	1	1
						gln_L[c]	2	2	glu_L[c]	2	2
						asp_L[c]	2	2	thf[c]	2	2
						gly[c]	1	1	fum[c]	2	2
						10fthf[c]	2	3	ppi[c]	1	1
						atp[c]	8	8	adp[c]	6	6
						h2o[c]	1	1	h[c]	13	13
						trdrd[c]	1	1	pi[c]	5	5
						nadp[c]	2	2	amp[c]	2	2
									nadph[c]	2	2
									trdox[c]	1	1
	15	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxycytidine triphosphate synthesis (dCTP)	0	gln_L[c]	1	2	glu_L[c]	1	2
						hco3[c]	1	1	dctp[c]	1	1
						asp_L[c]	1	1	q10h2[m]	1	1
						q10[m]	1	1	h[c]	7	7
						glc_D[c]	1	1	pi[c]	3	3
						atp[c]	7	7	adp[c]	6	6
						h2o[c]	1	2	ppi[c]	1	1
						nadp[c]	2	2	co2[c]	2	2
						nh4[c]	0	1	nadph[c]	2	2
						trdrd[c]	1	1	amp[c]	1	1
									trdox[c]	1	1
									h2o[c]	1	1
	16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyguanosine triphosphate synthesis (dGTP)	0	glc_D[c]	1	1	dgtp[c]	1	1
						gln_L[c]	3	3	glu_L[c]	3	3
						asp_L[c]	1	1	thf[c]	2	2
						gly[c]	1	1	fum[c]	1	1
						10fthf[c]	2	2	ppi[c]	2	2
						nadp[c]	2	2	adp[c]	7	7
						atp[c]	9	9	h[c]	14	14
						h2o[c]	4	4	pi[c]	4	4
						nad[c]	1	1	nadh[c]	1	1
						trdrd[c]	1	1	nadph[c]	2	2
									amp[c]	2	2
									trdox[c]	1	1
									h2o[c]	1	1
	17	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyuridine triphosphate synthesis (dUTP)	0	gln_L[c]	1	1	glu_L[c]	1	1
						hco3[c]	1	1	dutp[c]	1	1
						asp_L[c]	1	1	q10h2[m]	1	1
						q10[m]	1	1	h[c]	5	5
						glc_D[c]	1	1	pi[c]	2	2
						h2o[c]	1	1	adp[c]	5	5
						atp[c]	6	6	ppi[c]	1	1
						nadp[c]	2	2	co2[c]	2	2
						trdrd[c]	1	1	nadph[c]	2	2
									amp[c]	1	1
									trdox[c]	1	1
									h2o[c]	1	1
	18	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxythymidine triphosphate synthesis (dTTP)	0	gln_L[c]	1	1	glu_L[c]	1	1
						hco3[c]	1	1	dttp[c]	1	1
						asp_L[c]	1	1	q10h2[m]	1	1
						q10[m]	1	1	h[c]	6	6
						glc_D[c]	1	1	pi[c]	3	3
						h2o[c]	2	2	adp[c]	6	6
						atp[c]	7	7	ppi[c]	1	1
						nadp[c]	2	2	co2[c]	2	2
						trdrd[c]	1	1	nadph[c]	2	2
						mlthf[c]	1	1	amp[c]	1	1
									trdox[c]	1	1
									h2o[c]	1	1
									dhf[c]	1	1
	19	NUCLEOTIDE METABOLISM	SALVAGE	AMP salvage from adenine	0	prpp[c]	1	1	ppi[c]	1	1
						ade[c]	1	1	amp[c]	1	1
	20	NUCLEOTIDE METABOLISM	SALVAGE	IMP salvage from hypoxanthine	0	hxan[c]	1	1	imp[c]	1	1
						prpp[c]	1	1	ppi[c]	1	1
	21	NUCLEOTIDE METABOLISM	SALVAGE	GMP salvage from guanine	0	gua[c]	1	1	gmp[c]	1	1
						prpp[c]	1	1	ppi[c]	1	1
	22	NUCLEOTIDE METABOLISM	COFACTOR	3'-Phospho-5'-adenylyl sulfate synthesis	0	so4[c]	1	1	paps[c]	1	1
						atp[c]	2	2	adp[c]	1	1
						h[c]	1	1	h[c]	1	1
									ppi[c]	1	1
	23	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of adenine to urate	0	ade[c]	1	1	urate[x]	1	1
						h2o[c]	2	2	nh4[c]	1	1
						h[c]	1	1	h2o2[x]	2	2
						o2[x]	2	2	r1p[c]	1	1
						prpp[c]	1	1	ppi[c]	1	1
						h2o[x]	2	2			
	24	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of guanine to urate	0	gua[c]	1	1	urate[x]	1	1
						h2o[x]	1	1	nh4[c]	1	1
						h2o[c]	1	1	nadh[x]	1	1
						nad[x]	1	1	h[x]	0	1
	25	NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of cytosine	0	csn[c]	1	1	ala_B[c]	1	1
						h2o[c]	3	3	co2[c]	1	1
						h[c]	3	3	nh4[c]	2	2
						nadph[c]	1	1	nadp[c]	1	1
	26	NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of uracil	0	ura[c]	1	1	ala_B[c]	1	1
						h2o[c]	2	2	co2[c]	1	1
						h[c]	2	2	nh4[c]	1	1
						nadph[c]	1	1	nadp[c]	1	1
	27	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from pyruvate	0	pyr[c]	2	2	glc_D[c]	1	1
						cit[c]	2	2	cit[m]	2	2
						nadh[c]	2	2	nad[c]	2	2
						gtp[m]	2	2	gdp[m]	2	2
						hco3[m]	2	2	co2[m]	2	2
						atp[m]	2	2	adp[m]	2	2
						atp[c]	2	2	adp[c]	2	2
						h2o[c]	3	3	h[m]	2	
						h2o[r]	1		pi[m]	2	
						h[c]	2		pi[c]	3	
									pi[r]	1	
	28	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Lactate	0	lac_L[m]	2	2	glc_D[c]	1	1
						nad[m]	2	2	cit[m]	2	2
						atp[m]	2	2	h[m]	4	
						hco3[m]	2	2	nadh[m]	2	2
						gtp[m]	2	2	adp[m]	2	2
						cit[c]	2	2	pi[m]	2	
						h2o[c]	3		co2[m]	2	
						atp[c]	2		gdp[m]	2	2
						h[c]	2		adp[c]	2	2
						nadh[c]	2	2	nad[c]	2	2
						h2o[r]	1		pi[c]	3	
									pi[r]	1	
	29	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glycerol	0	glyc[c]	2	2	glc_D[c]	1	1
						atp[c]	2	2	adp[c]	2	2
						nad[c]	2	2	nadh[c]	2	2
						h2o[c]	1		h[c]	4	
						h2o[r]	1		pi[c]	1	
									pi[r]	1	
	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Alanine	0	ala_L[c]	2	2	glc_D[c]	1	1
						akg[c]	2	2	glu_L[c]	2	2
						cit[c]	2	2	cit[m]	2	2
						nadh[c]	2	2	nad[c]	2	2
						gtp[m]	2	2	gdp[m]	2	2
						hco3[m]	2	2	co2[m]	2	2
						atp[m]	2	2	adp[m]	2	2
						atp[c]	2	2	adp[c]	2	2
						h2o[c]	3	3	h[m]	2	
						h2o[r]	1		pi[m]	2	
						h[c]	2		pi[c]	3	
									pi[r]	1	
