id	SYSTEM	SUBSYSTEM	DESCRIPTION	ORIGINAL.SOURCE	COMMENTS	REFERENCE	PATHWAYS.USED
X1	ENERGY METABOLISM	OXYDATIVE PHOSPHORYLATION	Oxidative phosphorylation via NADH-coQ oxidoreductase	iHSA (254 and 252)	Complex I performs the two electron oxidation of NADH + H+. This process is used in mitochondria to drive the transport of four protons per two electrons from the matrix side to the intermembrane space or in prokaryotes from the cytoplasm to the periplasm	PAGE 184 - 186	NADH2-u10m (NADH dehydrogenase, mitochondrial - (5) h[m] + nadh[m] + q10[m] --> (4) h[c] + nad[m] + q10h2[m])
X10	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Cytidine triphosphate synthesis (CTP)	iHSA (11)/recon2 (317)	In vivo, nucleotides can be synthesized de novo or recycled through salvage pathways. The components used in de novo nucleotide synthesis are derived from biosynthetic precursors of carbohydrate and amino acid metabolism, and from ammonia and carbon dioxide. -- The synthesis of the pyrimidines CTP and UTP occurs in the cytoplasm and use mainly glutamine, CO2 and aspartate.	PAGE 126-128	Combination of Glucose to PRPP pathways (HEX1, G6PDH2r, PGL,GND,RPI,PRPPS) and UMP pathways (CBPS, ASPCTr, DHORTS,DHORD9,ORPT,OMPDC,UMPK, NDPK2 and CTPS1)
X100	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	Homocysteine synthesis (need methionine)	iHSA (75)	Homocysteine is a homologue of the amino acid cysteine. Homocysteine is not obtained from the diet. Instead, it is biosynthesized from methionine via a multi-step process. High level of homocysteine would cause person more prone to endothelial cell injury.	PAGE 67 -- https://www.benbest.com/health/Meth.html -- http://www.jbc.org/content/111/2/393.full.pdf	METAT (atp[c] + h2o[c] + met_L[c] -> amet[c] + pi[c] + ppi[c]) - GNMT (amet[c] + gly[c] -> ahcys[c] + h[c] + sarcs[c] ) - AHC (ahcys[c] + h2o[c] <=> adn[c] + hcys_L[c] ) -ADNK1 (adn[c] + atp[c] -> adp[c] + amp[c] + h[c] )
X101	AMINO ACIDS METABOLISM	HOMOCYSTEINE METABOLISM	Homocysteine degradation	iHSA (97)	Homocysteine is a non-protein α-amino acid. It is a homologue of the amino acid cysteine. It degrades either through methionine or cysteine.	PAGE 67	CYSTS (hcys-L[c] + ser-L[c] -> cyst-L[c] + h2o[c] )-CYSTGL (cyst-L[c] + h2o[c] -> 2obut[c] + cys-L[c] + nh4[c] )-OBDHc (2obut[c] + coa[c] + nad[c] -> co2[c] + nadh[c] + ppcoa[c] )-GLYtm (gly[c] <=> gly[m] )-MTHFD2m (mlthf[m] + nad[m] <=> methf[m] + nadh[m] )-MTHFCm (h2o[m] + methf[m] <=> 10fthf[m] + h[m] )-FTHFLm (atp[m] + for[m] + thf[m] <=> 10fthf[m] + adp[m] + pi[m] )-FORt2m (for[m] <=> for[c] )-FDH (for[c] -> co2[c] + nadh[c] )-
X102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	Isoleucine degradation	iHSA (85)/recon2 (172)	Isoleucine is both a glucogenic and a ketogenic amino acid. After transamination with alpha-ketoglutarate the carbon skeleton can be converted into either Succinyl CoA, and fed into the TCA cycle for oxidation or converted into oxaloacetate for gluconeogenesis (hence glucogenic).	PAGE 71-72 -- https://en.wikipedia.org/wiki/Isoleucine	
X103	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	Leucine degradation	iHSA (87)	Leucine is an essential amino acid.In healthy individuals, approximately 60% of dietary l-leucine is metabolized after several hours, with roughly 5% (2–10% range) of dietary l-leucine being converted to β-hydroxy β-methylbutyric acid (HMB). Around 40% of dietary l-leucine is converted to acetyl-CoA, which is subsequently used in the synthesis of other compounds.	PAGE 71-72	
X104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	Conversion of leucine to acetyl-coA	recon2 (185)	In healthy individuals, approximately 60% of dietary l-leucine is metabolized after several hours, with roughly 5% (2–10% range) of dietary l-leucine being converted to β-hydroxy β-methylbutyric acid (HMB). Around 40% of dietary l-leucine is converted to acetyl-CoA, which is subsequently used in the synthesis of other compounds.	PAGE 71-72	LEUTAm (akg + leu-L <==> 4mop + glu-L ) - OIVD1m (4mop + coa + nad --> co2 + ivcoa + nadh) - ACOAD8m (fad + ivcoa --> 3mb2coa + fadh2) - MCCCrm (3mb2coa + atp + hco3 <==> 3mgcoa + adp + h + pi) - MGCHrm (3mgcoa + h2o <==> hmgcoa ) - HMGLm(hmgcoa --> acac + accoa)
X105	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Lysine degradation	iHSA (88)/recon2 (186, 187)	L-lysine is an essential amino acid in humans. It is required for protein synthesis, enzyme catalysis, and L-carnitine biosynthesis. (https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=LYSINE-DEG1-PWY)	PAGE 68	
X106	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Conversion of lysine to L-Saccharopine	recon2 (186)	One step of degradation pathway, which would finally produce Acetyl-CoA. Oxidative decarboxylation of 2-oxoadipate results in glutaryl-CoA (the homologue of succinyl-CoA), which after a second decarboxylation yields crotonyl-CoA. This is a member of the fatty acid degradation pathway (3.4.1.5), which leads to acetyl-CoA. Thus, lysine is a ketogenic amino acid.	PAGE 68	SACCD3m (saccharopine dehydrogenase (NADP, L-lysine forming), mitochondrial - akg + h + lys-L + nadph --> h2o + nadp + saccrp-L)
X107	AMINO ACIDS METABOLISM	LYSINE METABOLISM	Conversion of lysine to L-2-Aminoadipate	recon2 (187)	One step of degradation pathway which would finally produce Acetyl-CoA. Oxidative decarboxylation of 2-oxoadipate results in glutaryl-CoA (the homologue of succinyl-CoA), which after a second decarboxylation yields crotonyl-CoA. This is a member of the fatty acid degradation pathway (3.4.1.5), which leads to acetyl-CoA. Thus, lysine is a ketogenic amino acid.	PAGE 68	LYSOXp (L-lysine oxidase, peroxisomal - h2o + lys-L + o2 --> 6a2ohxnt + h2o2 + nh4) - PPD2CSPp (6a2ohxnt --> 1pipdn2c + h2o) - 1PPDCRp (delta1-piperideine-2-carboxylate reductase, perixosomal - 1pipdn2c + h + nadh --> Lpipecol + nad) - LPCOXp (L-pipecolate oxidase, peroxisomal - Lpipecol + o2 --> h + h2o2 + thp2c) - AAPSAS ( h + h2o + thp2c --> L2aadp6sa) - AASAD3 (L-aminoadipate-semialdehyde dehydrogenase (NADH) - L2aadp6sa + h2o + nad --> L2aadp + (2) h + nadh)
