	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21
SR001	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR002	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR003	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR004	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR005	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR006	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR017	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR021	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR022	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR023	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR024	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR025	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR026	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR027	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR028	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR029	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR030	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR031	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR032	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR033	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR034	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR035	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR036	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR037	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR038	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR039	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR040	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR041	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR042	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR043	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR044	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR045	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR046	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR047	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR048	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR049	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR050	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR051	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR052	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR053	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR054	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR055	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR056	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR057	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR058	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR059	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR060	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR061	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR062	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR063	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR064	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR065	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR066	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR067	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR068	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SR069	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SR070	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SR071	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SR072	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR073	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR074	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR075	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR076	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR077	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR078	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SR079	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SR080	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SR081	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SR082	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SR083	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SR084	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SR085	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SR086	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SR087	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SR088	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SR089	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SR090	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SR091	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SR092	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SR093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SR094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SR095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SR096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SR097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SR098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SR099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SR100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SR101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
SR102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
SR103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
SR104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SR105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SR106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
SR107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SR108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
SR109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SR110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
SR111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
SR112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
SR113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
SR114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SR115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SR116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SR117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SR118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SR119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SR120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SR121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SR122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SR123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SR124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SR125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SR126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SR127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SR128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SR129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SR130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SR131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SR132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SR133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SR134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
